,Item Name,2020 CPT Code,Average Charge,Hospital Name,lat,lon,Source
0,"Emergency Room Visit, Level 2 (low to moderate severity)",99282.0,861.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
1,"Emergency Room Visit, Level 3 (moderate severity)",99283.0,1770.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
2,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284.0,2401.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
3,"Outpatient Visit, established patient, 15 minutes",99213.0,335.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
4,Basic Metabolic Panel,80048.0,443.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
5,"Blood Gas Analysis, including 02 saturation",82805.0,339.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
6,"Complete Blood Count, automated",85027.0,74.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
7,"Complete Blood Count, with differential WBC, automated",85025.0,82.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
8,Comprehensive Metabolic Panel,80053.0,549.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
9,"Creatine Kinase (CK), (CPK), Total",82550.0,41.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
10,Lipid Panel,80061.0,107.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
11,Partial Thromboplastin Time,85730.0,187.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
12,Prothrombin Time,85610.0,177.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
13,Thyroid Stimulating Hormone,84443.0,134.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
14,"Troponin, Quantitative",84484.0,411.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
15,"CT Scan, Abdomen, with contrast",74160.0,4363.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
16,"CT Scan, Head or Brain, without contrast",70450.0,4409.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
17,"CT Scan, Pelvis, with contrast",72193.0,5765.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
18,"MRI, Brain, without contrast, followed by contrast",70553.0,3512.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
19,"Ultrasound, Abdomen, Complete",76700.0,2259.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
20,"Ultrasound, OB, 14 weeks or more, transabdominal",76805.0,2078.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
21,"X-Ray, Lower Back, minimum four views",72110.0,1313.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
22,"Inhalation Treatment, pressurized or nonpressurized",94640.0,301.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
23,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483.0,1136.0,USC Verdugo Hills Hospital,34.2048286,-118.2157933,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
24,"Emergency Room Visit, Level 2 (low to moderate severity)",99282.0,1110.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
25,"Emergency Room Visit, Level 3 (moderate severity)",99283.0,2189.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
26,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284.0,3775.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
27,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285.0,5209.0,Kaiser Foundation Hospital - Santa Clara,37.3360694,-121.9987908,https://data.chhs.ca.gov/dataset/chargemasters/resource/95e415ee-5c11-40b9-b693-ff9af7985a94
